second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;1;26;2;0.032786883413791656;0.032786883413791656;0.001006496138870716;0.001006496138870716;0.00099945068359375;198;0.04125000163912773;0.04125000163912773;0;0;0;2;0
60.0;4;24;59;0.9672130942344666;0.9672130942344666;0.9989935159683228;0.9989935159683228;0.9920005798339844;4602;0.9587500095367432;0.9587500095367432;0;0;0;59;0
61.0;4;24;8;0.14814814925193787;0.14814814925193787;0.16701160371303558;0.16701160371303558;0.16099929809570312;624;0.14814814925193787;0.14814814925193787;0;0;0;67;0
61.0;18;23;46;0.8518518805503845;0.8518518805503845;0.8329883813858032;0.8329883813858032;0.8030014038085938;3588;0.8518518805503845;0.8518518805503845;0;0;0;46;0
62.0;18;23;1;0.023255813866853714;0.023255813866853714;0.11823637038469315;0.11823637038469315;0.11800003051757812;78;0.023255813866853714;0.023255813866853714;0;0;0;47;0
62.0;23;6;42;0.9767441749572754;0.9767441749572754;0.8817636370658875;0.8817636370658875;0.8800010681152344;3276;0.9767441749572754;0.9767441749572754;0;0;0;42;0
63.0;23;6;11;0.29729729890823364;1.0;0.48422011733055115;1.0;0.490997314453125;858;0.29729729890823364;1.0;0;0;0;53;0
63.0;15;6;26;0.7027027010917664;1.0;0.5157799124717712;1.0;0.5229988098144531;2028;0.7027027010917664;1.0;0;0;0;26;0
64.0;23;6;1;0.021276595070958138;1.0;0.0013535962207242846;1.0;0.001007080078125;78;0.021276595070958138;1.0;0;0;0;54;0
64.0;24;6;40;0.8510638475418091;1.0;0.9180048704147339;1.0;0.6829986572265625;3120;0.8510638475418091;1.0;0;0;0;40;0
64.0;15;6;6;0.12765957415103912;1.0;0.08064152300357819;1.0;0.05999755859375;468;0.12765957415103912;1.0;0;0;0;32;0
65.0;24;6;11;0.261904776096344;0.261904776096344;0.2533140182495117;0.2533140182495117;0.24799346923828125;858;0.21019108593463898;0.21019108593463898;0;0;0;51;0
65.0;3;23;31;0.738095223903656;0.738095223903656;0.7466859817504883;0.7466859817504883;0.7310028076171875;3224;0.7898089289665222;0.7898089289665222;0;0;0;31;0
66.0;24;6;1;0.01923076994717121;0.01923076994717121;0.001174435019493103;0.001174435019493103;0.00099945068359375;78;0.018987340852618217;0.018987340852618217;0;0;0;52;0
66.0;6;0;49;0.942307710647583;0.942307710647583;0.9976511597633362;0.9976511597633362;0.8490066528320312;3822;0.9303797483444214;0.9303797483444214;0;0;0;49;0
66.0;3;23;2;0.03846153989434242;0.03846153989434242;0.001174435019493103;0.001174435019493103;0.00099945068359375;208;0.050632912665605545;0.050632912665605545;0;0;0;33;0
67.0;6;0;38;1.0;1.0;1.0;1.0;0.9379959106445312;2964;1.0;1.0;0;0;0;87;0
68.0;6;0;62;1.0;1.0;1.0;1.0;0.9980010986328125;4836;1.0;1.0;0;0;0;149;0
69.0;6;0;43;0.682539701461792;0.682539701461792;0.7585542798042297;0.7585542798042297;0.7540054321289062;3354;0.7175866365432739;0.7175866365432739;0;0;0;192;0
69.0;13;26;20;0.3174603283405304;0.3174603283405304;0.24144573509693146;0.24144573509693146;0.23999786376953125;1320;0.2824133634567261;0.2824133634567261;0;20;0;20;0
70.0;6;0;32;0.4923076927661896;0.4923076927661896;0.5955002903938293;0.5955002903938293;0.5829925537109375;2496;0.5340179800987244;0.5340179800987244;0;0;0;224;0
70.0;13;26;33;0.5076923370361328;0.5076923370361328;0.40449970960617065;0.40449970960617065;0.39600372314453125;2178;0.46598201990127563;0.46598201990127563;0;33;0;53;0
71.0;6;0;4;0.095238097012043;0.4285714328289032;0.22554732859134674;0.5453763008117676;0.2559967041015625;312;0.09497717022895813;0.4273972511291504;0;0;0;228;0
71.0;13;26;15;0.3571428656578064;0.5714285969734192;0.36740002036094666;0.45462366938591003;0.41699981689453125;990;0.30136987566947937;0.5726027488708496;0;15;0;68;0
